,bmb,ismr,A,bml,bmg,ismr_l,ismr_g,ismr_max,ismr_min
Filchner,5.532197914876436,0.05961782358221202,101.30388886120362,17.333097188140624,-11.80089927326419,0.2626360420383823,-0.44036954508725046,4.816499868638857,-6.69103594009357
Ronne,60.55911979064569,0.19828888953952284,333.41543413850013,84.35481036072072,-23.79569057007505,0.34436056464411796,-0.3936567072056366,6.317800696933773,-10.01694809019682
Ronne-Filchner,66.09131770552213,0.16597397388988278,434.71932299970376,101.68790754886135,-35.59658984333924,0.3253160650848196,-0.4045423336012998,6.317800696933773,-6.69103594009357
