,Names,A,bmb,ismr,A_nf,bmb_nf,ismr_nf,bml,bmg,ismr_l,ismr_g,bml_nf,bmg_nf,ismr_nf_l,ismr_nf_g,lon_min,lat_min,lon_max,lat_max
0,Larsen G,0.468984837388072,0.08117262641827094,0.1889536661361849,0.37192783775988886,0.06922513613262896,0.20319342907050605,0.08874297459621322,-0.007570348177942233,0.2396208491056478,-0.12778545501159147,0.07504630824296724,-0.005821172110338284,0.25331008179314024,-0.1310387719065282,-62.55,-74.7,-61.35,-74.36
1,Larsen F,1.161801712709775,0.3354547807298357,0.31521472685405777,0.8229129400286731,0.2473979705317182,0.32820618990194017,0.3496204360337837,-0.014165655303948064,0.38150368797335665,-0.09585445611494546,0.2615636258356662,-0.014165655303948064,0.4316193753651248,-0.09585445611494546,-61.96,-74.44,-60.55,-73.85
2,Larsen E,1.4955345412033278,0.8878648849787698,0.6481193059900094,1.0933466594321781,0.6529872434760287,0.6520056229045221,0.9949286573127097,-0.10706377233393982,0.9647819129821471,-0.31613714234138623,0.7600510158099685,-0.10706377233393982,1.1466529597536932,-0.31613714234138623,-62.61,-73.72,-60.05,-73.11
3,Larsen D,14.800431747572011,3.437837999168772,0.25358032227562166,11.95672765093273,2.6962426694921917,0.24617909264202611,4.419578070867619,-0.9817400716988357,0.4329191595880343,-0.2931957427749028,3.624944407923886,-0.9287017384316942,0.45828833385069034,-0.30523130054326353,-62.7,-73.0,-59.3,-69.4
4,Larsen C,56.21058150505634,14.597958208587295,0.2835166470829143,53.03883403737413,11.372382561990788,0.2340787657005873,15.73903991254334,-1.1410817039560277,0.33787094012455915,-0.23259380987281605,12.51346426594681,-1.1410817039560277,0.2864956708819073,-0.23259380987281605,-65.5,-69.3,-60.0,-66.1
5,Larsen B,5.666293963755558,3.491700945402159,0.6727325867312959,3.5558163450954483,1.3043755325614752,0.4004680269934623,3.4939986608588303,-0.002297715456670962,0.6824165671767427,-0.03269028493643903,1.3066732480181462,-0.002297715456670962,0.4100215572480011,-0.03269028493643903,-62.75,-66.1,-59.0,-65.0
6,Wordie,1.2716317443707432,0.505583004083353,0.43404587330521055,0.5025071674045445,0.09335469642996004,0.20281423642708152,0.505583004083353,0.0,0.43404587330521055,0.0,0.09335469642996004,0.0,0.20281423642708152,0.0,-68.24,-69.49,-66.86,-68.75
7,Wilkins,16.082772656485012,27.16396846440568,1.843897693511126,11.873082873563918,14.011652021821973,1.2883396423231444,27.178159564988626,-0.01419110058294228,1.8632304958769328,-0.09770769670175605,14.025843122404911,-0.01419110058294228,1.3071001792255288,-0.09770769670175605,-75.0,-71.5,-69.5,-69.7
8,Bach,5.8738254562600485,20.30292172231301,3.773479799601423,4.628871718278707,13.156104296139103,3.102820762680776,20.35028247238949,-0.047360750076480024,4.256885957197264,-0.07895196112588587,13.203465046215587,-0.047360750076480024,3.627147636091532,-0.07895196112588587,-75.37,-72.38,-70.3,-71.5
9,George VI 1,13.173387119051949,92.19689857335061,7.640528217040004,11.76170476327953,82.94331844117382,7.698669206819096,92.28341201920529,-0.08651344585468305,7.704024949672454,-0.9805961391432855,83.0298318870285,-0.08651344585468305,7.770330015210043,-0.9805961391432855,-74.5,-73.8,-67.0,-72.6
10,George VI 2,10.745791850953658,77.27512129534384,7.8506532883196645,10.493229322677417,74.30927658828662,7.73104846020782,77.27561725448668,-0.0004959591428476404,7.874144571329114,-0.01692548667672244,74.30977254742946,-0.0004959591428476404,7.754741144131424,-0.01692548667672244,-69.5,-72.6,-66.0,-70.0
11,Stange,9.635089567098264,20.222341645505335,2.291290811120605,7.565729946074608,15.606082247475545,2.2518921260981797,20.225127984765965,-0.0027863392606352093,2.299284243382754,-0.09454592188100304,15.60886858673618,-0.0027863392606352093,2.2619129805532237,-0.09454592188100304,-79.0,-73.8,-74.5,-72.6
12,Ronne,350.54291014855255,77.44142434447687,0.24117743428771338,347.17161099689173,74.57558690676149,0.23450764292806775,100.20071836465328,-22.759294020176725,0.3794999043088182,-0.39883995943009015,96.78305732505865,-22.20747041829742,0.3694350601959607,-0.39632584994313824,-85.0,-84.5,-49.5,-74.7
13,Ferrigno,0.4184355133809083,2.095461416433365,5.4670828849520285,0.08047551256882876,0.5852154671223628,7.938831253535709,2.095461416433365,0.0,5.4670828849520285,0.0,0.5852154671223628,0.0,7.938831253535709,0.0,-83.9,-73.75,-82.5,-73.45
14,Venable,3.6430964092502807,15.936055455629203,4.775454311219814,2.793001061000925,9.695047303374249,3.7895126229620653,15.936055455629203,0.0,4.775454311219814,0.0,9.695047303374249,0.0,3.7895126229620653,0.0,-88.93,-73.33,-85.5,-72.75
15,Abbot,34.90065980841393,81.67534439525846,2.554829153041747,29.46660038600934,62.99184554947802,2.3337741523283824,81.67729001834016,-0.0019456230816932525,2.5584066431672223,-0.04427641402899279,62.9927675329707,-0.0009219834926760056,2.336341793604994,-0.031500398256838,-103.2,-73.3,-88.8,-70.9
16,Cosgrove,3.233398712400622,10.954050726169916,3.69845222486619,2.8313148593494084,7.004267586738379,2.7007170571711994,10.980405666455008,-0.026354940285090257,3.744635996681329,-0.893670306637038,7.0306225270234695,-0.026354940285090257,2.7420591661300615,-0.893670306637038,-101.89,-73.9,-98.33,-73.3
17,Pine Island,6.573767547921232,42.3462997281256,7.032433763291661,5.085493030311073,32.41884461742159,6.959355082152033,42.3462997281256,0.0,7.032433763291661,0.0,32.41884461742159,0.0,6.959355082152033,0.0,-102.5,-75.5,-99.2,-74.2
