,bmb,ismr,A_IS,temp
Prydz Bay,1.5464350526906228,0.024546370984533883,68.77790102578207,-0.5459824192922257
Amundsen Sea,3.323408239980396,0.03589209368673789,101.08563089528049,-0.8247181562660236
Bellingshausen Sea,-12.393275631411399,-0.16742251441630548,80.81217115485775,-4.235075211730633
George V Coast,4.3161025778638065,0.13827454013553617,34.0764277571416,0.08906491171761594
Ross Sea,3.7888570752682833,0.007661565334986912,539.8775145649312,0.24347881231304183
Sabrina Coast,2.313180111676771,0.03145414604191951,80.28530787032801,-1.530223229799821
Total Antarctica,56.65787233310646,0.036581509390381815,1690.8425444117381,-1.2304575531373625
Weddell Sea,52.92864711617495,0.09277469946436895,622.8246082278549,-1.5770492429786738
Western East Antarctica,0.8345177908630248,0.00558570791856465,163.10298291555125,-2.142794341332803
