,station_id,station_name,amp,rel_amp
24,29,c13  (gravity measurements on the RIS),-0.13155807656924712,0.3998725731588058
28,33,J9   (gravity measurements on the RIS),-0.1536268741303276,0.3681449176379765
31,36,O19  (gravity measurements on the RIS),-0.11922476487734296,0.3619452485650971
48,55,Lokcroy,-0.29,1.0
55,62,Moutonnee Lake (Looks Bad),0.09560992555828424,0.6460130105289474
