"(bmb in Gt/yr, ismr in m/yr, A in 10^3 km^2)",This study,This study (all ice),Rignot 2013 (IS flux),Rignot 2013 err,Rignot 2013 (hr data),Difference to IS flux range,Liu 2015 (non steady),Liu 2015 err (non steady),Liu 2015 (steady state),Liu 2015 err (steady state),Depoorter 2013,Depoorter 2013 err,Adusumilli 2018,Unnamed: 14,Hellmer 2004,Timmermann 2012,Dinniman 2015,Schodlock 2016,Mathiot 2017,Naughten 2018 (MetROMS),Naughten 2018 (FESOM HR),Kusahara 2013,TIOMA4,Unnamed: 24,Unnamed: 25,Adusumilli 2018 (bml),Adusumilli 2018 (bmg),This study (bml),This study (bmg)
Pine Island,36.65,41.18,101.2,8.0,85.96,7.77,78.0,8.0,51.0,8.0,95.0,14.0,29.67,,,13.0,,,87.0,20.5,9.5,,42.35,,,29.7,-0.02,41.18,0.0
Pine Island,7.03,7.28,16.2,0.1,17.75,-10.25,14.0,1.4,9.1,1.4,15.96,2.38,5.24,,,3.1,1.62,14.91,15.2,3.58,1.66,,7.03,,,,,,
Pine Island,5.69,6.18,6.25,,5.29,,6.09,,6.09,,6.0,,6.18,,,5.0,,,6.25,6.25,6.25,,6.57,,,,,,
Abbot,73.63,80.93,51.8,20.0,38.56,,35.0,7.0,46.0,7.0,86.0,22.0,44.45,,18.6,59.0,,,52.0,25.0,36.6,,81.68,,,48.55,-4.1,80.93,0.0
Abbot,2.6,2.65,1.75,0.6,1.47,,1.2,0.2,1.6,0.2,2.72,0.7,1.45,,0.55,2.1,0.34,1.23,1.91,0.92,1.35,,2.55,,,,,,
Abbot,30.9,33.37,29.69,,28.7,,32.51,,32.51,,32.0,,33.37,,36.0,32.5,,,29.69,29.69,29.69,,34.9,,,,,,
George VI,145.99,152.31,89.0,17.0,63.2,12.22,76.0,13.0,56.0,13.0,144.0,42.0,70.72,,22.48,86.0,,,298.0,48.4,32.5,,169.47,,,70.74,-0.02,152.36,-0.05
George VI,6.99,7.06,3.8,0.7,3.2,,4.02,0.73,2.94,0.67,2.88,0.83,3.28,,0.43,3.6,1.19,7.99,13.88,2.25,1.51,,7.73,,,,,,
George VI,22.79,23.5,23.43,,21.56,,20.59,,20.59,,50.0,,23.5,,57.0,27.0,,,23.43,23.43,23.43,,23.92,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ice Shelf melting (bmb in Gt/yr, ismr in m/yr, A in 10^3 km^2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fimbulisen Liu includes Vigrid, Nivil, Lazarev, Borchgrevink as well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larsenc deporter includes larsen B as well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ross rignot has a footnote 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
george includes wilkens and stange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naughten 2018 and Mathiot 2017 areas for individual ice shelves have been taken from Rignot 2013 to calculate area averge melt rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
